RN;SAT;Região;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondulação (N) Conexão *;Ondulação (N) MAPGEO2015 **;Discrepâncias dif.Conexão_X_MAPGEO2015;;;
1045V;92817;CENTRO-OESTE;MATO GROSSO;-15,6589788;-57,2704588;205,4987;210,8090;5,31;5,35;-0,04;;;
1202K;92722;CENTRO-OESTE;MATO GROSSO;-17,0971800;-54,7608170;475,4488;477,4430;1,99;1,67;0,32;;;
1215Z;90404;CENTRO-OESTE;MATO GROSSO;-10,1852020;-54,9458590;292,5947;283,0220;-9,57;-9,99;0,42;;;
1220P;90295;CENTRO-OESTE;MATO GROSSO;-12,6728393;-55,7943447;322,0270;319,1930;-2,83;-2,62;-0,21;;;
1225B;92803;CENTRO-OESTE;MATO GROSSO;-15,4825401;-52,2031307;319,3291;314,1480;-5,18;-5,08;-0,10;;;
1268V;92805;CENTRO-OESTE;MATO GROSSO;-11,7626090;-51,9614580;361,4682;349,2780;-12,19;-11,86;-0,33;;;
1273L;92806;CENTRO-OESTE;MATO GROSSO;-10,5446818;-53,5831038;335,3922;323,3240;-12,07;-11,80;-0,27;;;
1279N;91340;CENTRO-OESTE;MATO GROSSO;-11,5322440;-56,7579640;313,1990;308,8600;-4,34;-4,00;-0,34;;;
2197J;92802;CENTRO-OESTE;MATO GROSSO;-15,7553217;-53,6179384;610,7817;607,3580;-3,42;-3,26;-0,16;;;
2222C;92813;CENTRO-OESTE;MATO GROSSO;-15,3391690;-58,8698260;366,6954;379,3560;12,66;12,49;0,17;;;
2229R;91343;CENTRO-OESTE;MATO GROSSO;-13,6589473;-57,8914344;568,7417;575,6180;6,88;6,78;0,10;;;
2231H;92815;CENTRO-OESTE;MATO GROSSO;-12,9191200;-58,0465100;475,0360;481,3740;6,34;6,33;0,01;;;
2234T;91345;CENTRO-OESTE;MATO GROSSO;-11,5810040;-58,3305610;277,8662;281,7420;3,88;3,71;0,17;;;
2236Z;91346;CENTRO-OESTE;MATO GROSSO;-11,6283400;-59,0777420;369,1529;376,3590;7,21;6,72;0,49;;;
2238E;92814;CENTRO-OESTE;MATO GROSSO;-11,9887650;-59,4279200;394,4884;404,0880;9,60;9,62;-0,02;;;
2250L;92811;CENTRO-OESTE;MATO GROSSO;-15,0780091;-55,9948593;417,9485;418,4660;0,52;0,83;-0,31;;;
3278H;92586;CENTRO-OESTE;MATO GROSSO;-15,5542953;-56,0688301;222,7995;224,8930;2,09;2,22;-0,13;;;
3278J;92587;CENTRO-OESTE;MATO GROSSO;-15,5550094;-56,0706384;226,1120;228,2100;2,10;2,22;-0,12;;;
3278L;92588;CENTRO-OESTE;MATO GROSSO;-15,5559585;-56,0702852;230,5420;232,5630;2,02;2,23;-0,21;;;
3278M;92583;CENTRO-OESTE;MATO GROSSO;-15,5552630;-56,0698666;235,3441;237,4430;2,10;2,22;-0,12;;;
3278N;92584;CENTRO-OESTE;MATO GROSSO;-15,5508491;-56,0558676;250,8910;252,9370;2,05;2,18;-0,13;;;
724T;92818;CENTRO-OESTE;MATO GROSSO;-16,1901133;-54,7846319;293,9486;293,5730;-0,38;-0,23;-0,15;;;
748G;92816;CENTRO-OESTE;MATO GROSSO;-14,4472217;-58,4211914;716,2459;727,1580;10,91;10,88;0,03;;;
