RN;SAT;Região;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondulação (N) Conexão *;Ondulação (N) MAPGEO2015 **;Discrepâncias dif.Conexão_X_MAPGEO2015;;;
891D;93269;NORDESTE;BAHIA;-11,8656927;-42,6989047;725,7926;710,8620;-14,93;-14,98;0,05;;;
895F;93283;NORDESTE;BAHIA;-12,1717232;-43,1984607;438,2282;422,0940;-16,13;-16,08;-0,05;;;
1614C;92185;NORDESTE;CEARÁ;-04,1209354;-38,2653366;19,6331;11,0390;-8,59;-8,39;-0,20;;;
1614J;92184;NORDESTE;CEARÁ;-04,2050939;-38,2274440;13,7351;05,1880;-8,55;-8,37;-0,18;;;
1654H;92188;NORDESTE;CEARÁ;-03,7069254;-40,3591297;68,3463;53,8950;-14,45;-14,29;-0,16;;;
1674H;92339;NORDESTE;CEARÁ;-06,2276416;-40,6753770;475,3212;462,6880;-12,63;-12,49;-0,14;;;
1691H;92355;NORDESTE;CEARÁ;-04,9708973;-38,0094915;28,6531;20,7740;-7,88;-7,85;-0,03;;;
1850X;92176;NORDESTE;CEARÁ;-03,7746647;-39,2375558;85,2208;74,4350;-10,79;-10,61;-0,18;;;
1851E;92174;NORDESTE;CEARÁ;-03,8285906;-39,2660271;62,6183;51,7370;-10,88;-10,68;-0,20;;;
1869A;92315;NORDESTE;CEARÁ;-06,8741215;-39,5041493;337,6231;327,2310;-10,39;-10,44;0,05;;;
1869L;92319;NORDESTE;CEARÁ;-06,7912907;-39,3056817;308,0590;297,5820;-10,48;-10,45;-0,03;;;
1896F;92352;NORDESTE;CEARÁ;-06,0132435;-38,3312479;182,6367;174,8360;-7,80;-7,82;0,02;;;
2402M;92314;NORDESTE;CEARÁ;-07,3089348;-39,5592178;916,4289;906,7020;-9,73;-9,79;0,06;;;
2622G;92341;NORDESTE;CEARÁ;-05,5810758;-39,3634060;175,0307;164,4490;-10,58;-10,46;-0,12;;;
2629C;92348;NORDESTE;CEARÁ;-07,0845148;-40,3163344;602,6612;592,0620;-10,60;-10,48;-0,12;;;
2661V;92000;NORDESTE;CEARÁ;-03,7457852;-38,5824358;26,7827;17,7260;-9,06;-9,05;-0,01;;;
2721R;92006;NORDESTE;CEARÁ;-03,8778173;-38,4268834;24,8728;16,1300;-8,74;-8,73;-0,01;;;
2728S;92168;NORDESTE;CEARÁ;-03,7694087;-38,4751625;17,2766;08,2870;-8,99;-8,92;-0,07;;;
2728T;92169;NORDESTE;CEARÁ;-03,7682765;-38,4752785;17,3113;08,2000;-9,11;-8,92;-0,19;;;
2728V;92170;NORDESTE;CEARÁ;-03,7664353;-38,4791234;16,5012;07,5170;-8,98;-8,92;-0,06;;;
2742X;92172;NORDESTE;CEARÁ;-03,7474029;-38,4496624;06,9295;-01,9630;-8,89;-8,88;-0,01;;;
2748H;92327;NORDESTE;CEARÁ;-03,6929296;-38,5866901;04,1598;-04,9120;-9,07;-9,06;-0,01;;;
2787R;96554;NORDESTE;CEARÁ;-03,7437880;-38,6193784;18,0657;08,9290;-9,14;-9,10;-0,04;;;
2791D;92300;NORDESTE;CEARÁ;-07,2380187;-39,4156055;446,0553;436,0510;-10,00;-10,04;0,04;;;
2791N;92400;NORDESTE;CEARÁ;-03,7262167;-38,4746122;57,3640;48,4190;-8,95;-8,93;-0,02;;;
4309A;92406;NORDESTE;CEARÁ;-03,7941792;-38,5575733;28,7667;19,7040;-9,06;-9,01;-0,05;;;
4309C;92385;NORDESTE;CEARÁ;-04,3472334;-39,3010616;140,2872;129,9230;-10,36;-10,42;0,06;;;
4309D;92375;NORDESTE;CEARÁ;-04,7945799;-40,0630167;704,4237;692,4130;-12,01;-12,10;0,09;;;
4309E;92387;NORDESTE;CEARÁ;-04,8473891;-39,5764766;308,8251;298,2910;-10,53;-10,70;0,17;;;
4309F;92365;NORDESTE;CEARÁ;-05,5697378;-39,3556547;175,5117;165,0030;-10,51;-10,43;-0,08;;;
4309G;92366;NORDESTE;CEARÁ;-06,0906034;-39,4606656;299,8655;289,0750;-10,79;-10,86;0,07;;;
4309H;92378;NORDESTE;CEARÁ;-06,3498594;-39,2929492;215,9175;205,1000;-10,82;-10,94;0,12;;;
4309J;92369;NORDESTE;CEARÁ;-05,9007457;-38,6309243;122,3601;113,6100;-8,75;-8,82;0,07;;;
4309L;92383;NORDESTE;CEARÁ;-04,9365198;-37,9836991;20,5501;12,7350;-7,82;-7,87;0,05;;;
4309N;92358;NORDESTE;CEARÁ;-07,6917216;-39,0090996;446,1274;436,3960;-9,73;-9,68;-0,05;;;
4309P;92360;NORDESTE;CEARÁ;-07,2448903;-39,3070587;430,6462;420,4600;-10,19;-10,13;-0,06;;;
4309T;92374;NORDESTE;CEARÁ;-05,2117237;-40,7023208;313,4955;299,2210;-14,27;-14,17;-0,10;;;
4309V;92398;NORDESTE;CEARÁ;-04,5789117;-38,3671996;61,7964;53,5700;-8,23;-8,33;0,10;;;
4309X;92384;NORDESTE;CEARÁ;-04,9799477;-38,9893750;207,7394;198,6870;-9,05;-9,16;0,11;;;
4330U;92367;NORDESTE;CEARÁ;-06,6499345;-38,6963967;277,7754;268,3640;-9,41;-9,52;0,11;;;
4331E;92359;NORDESTE;CEARÁ;-07,1871037;-38,7733151;420,9671;411,4140;-9,55;-9,54;-0,01;;;
4331N;92361;NORDESTE;CEARÁ;-06,7942169;-39,2922151;311,8982;301,6220;-10,28;-10,44;0,16;;;
4332M;92371;NORDESTE;CEARÁ;-06,0045381;-40,2986314;397,2936;385,3290;-11,96;-11,99;0,03;;;
4347N;92376;NORDESTE;CEARÁ;-04,7084092;-40,5584685;251,9166;237,2710;-14,65;-14,62;-0,03;;;
4347S;92373;NORDESTE;CEARÁ;-05,5406922;-40,7698184;363,6560;349,6710;-13,99;-13,83;-0,16;;;
4348D;96556;NORDESTE;CEARÁ;-03,3729172;-39,2945050;49,6830;38,9030;-10,78;-10,76;-0,02;;;
4350S;92397;NORDESTE;CEARÁ;-02,9190886;-39,9188997;17,5125;04,7020;-12,81;-12,85;0,04;;;
459I;92344;NORDESTE;CEARÁ;-04,9787752;-39,0188824;185,6476;176,4440;-9,20;-9,23;0,03;;;
467V;92178;NORDESTE;CEARÁ;-04,3628675;-38,8020014;143,6885;134,6660;-9,02;-8,97;-0,05;;;
467Y;92179;NORDESTE;CEARÁ;-04,3722968;-38,8179354;105,3578;96,2180;-9,14;-9,00;-0,14;;;
471C;92181;NORDESTE;CEARÁ;-04,4784261;-39,0778019;237,4765;227,8920;-9,58;-9,57;-0,01;;;
504B;92336;NORDESTE;CEARÁ;-05,2196130;-40,5905391;335,0891;321,0260;-14,06;-13,92;-0,14;;;
522B;92197;NORDESTE;CEARÁ;-04,1576290;-40,7701571;940,4385;926,0980;-14,34;-14,36;0,02;;;
522F;92198;NORDESTE;CEARÁ;-04,1995232;-40,7589543;880,1305;865,7220;-14,41;-14,37;-0,04;;;
525E;92194;NORDESTE;CEARÁ;-03,1285829;-40,1458390;17,0071;03,5640;-13,44;-13,29;-0,15;;;
533F;92191;NORDESTE;CEARÁ;-03,0340177;-41,2438619;11,2296;-05,8800;-17,11;-17,02;-0,09;;;
569M;92338;NORDESTE;CEARÁ;-06,2149909;-40,6859898;475,1154;462,4490;-12,67;-12,52;-0,15;;;
9328D;92187;NORDESTE;CEARÁ;-03,6890954;-40,3418923;67,2144;52,8380;-14,38;-14,26;-0,12;;;
9523S;92001;NORDESTE;CEARÁ;-03,8159961;-38,4257152;59,6618;50,9550;-8,71;-8,79;0,08;;;
2664Z;96550;NORDESTE;MARANHÃO;-03,7331590;-43,4577880;47,4073;25,1820;-22,23;-22,02;-0,21;;;
2666B;93262;NORDESTE;MARANHÃO;-04,2473060;-43,0166770;62,8350;40,5850;-22,25;-21,91;-0,34;;;
2694A;93261;NORDESTE;MARANHÃO;-04,1188440;-44,1276040;35,2052;10,0960;-25,11;-24,66;-0,45;;;
2729G;92158;NORDESTE;MARANHÃO;-05,4922500;-47,4958130;121,5186;96,4310;-25,09;-24,61;-0,48;;;
2729H;92159;NORDESTE;MARANHÃO;-05,4918810;-47,4983280;120,2947;95,2040;-25,09;-24,60;-0,49;;;
2729J;92160;NORDESTE;MARANHÃO;-05,4898650;-47,4980770;120,6170;95,5490;-25,07;-24,60;-0,47;;;
2729L;92161;NORDESTE;MARANHÃO;-05,4902260;-47,4956030;122,5515;97,4690;-25,08;-24,61;-0,47;;;
2729M;92162;NORDESTE;MARANHÃO;-05,4765060;-47,4995910;173,8118;148,7480;-25,06;-24,60;-0,46;;;
2729X;92166;NORDESTE;MARANHÃO;-05,4745880;-47,4845660;185,7326;160,6280;-25,10;-24,61;-0,49;;;
2738C;96548;NORDESTE;MARANHÃO;-02,1824230;-45,8730150;64,8373;38,0120;-26,83;-26,40;-0,43;;;
2766G;96543;NORDESTE;MARANHÃO;-05,3457440;-44,4752220;126,5267;102,0070;-24,52;-24,03;-0,49;;;
4315N;96547;NORDESTE;MARANHÃO;-04,4751650;-46,8550950;165,7724;138,9720;-26,80;-26,43;-0,37;;;
845L;96546;NORDESTE;MARANHÃO;-05,7687040;-46,0704400;214,5273;188,4160;-26,11;-25,70;-0,41;;;
854N;96544;NORDESTE;MARANHÃO;-07,0430844;-44,6002541;262,6072;239,9210;-22,69;-22,49;-0,20;;;
858G;96549;NORDESTE;MARANHÃO;-03,5796310;-44,6581790;13,6398;-13,5570;-27,20;-26,80;-0,40;;;
862M;92568;NORDESTE;MARANHÃO;-03,9093150;-45,5897660;36,8787;08,8100;-28,07;-27,84;-0,23;;;
862X;92567;NORDESTE;MARANHÃO;-04,0217070;-45,7544520;46,3955;18,3970;-28,00;-27,74;-0,26;;;
9528B;92206;NORDESTE;MARANHÃO;-03,0563560;-45,6384220;63,6369;35,6580;-27,98;-27,53;-0,45;;;
9529A;90828;NORDESTE;MARANHÃO;-04,2468170;-46,1990480;295,3964;268,0050;-27,39;-27,20;-0,19;;;
1837D;96509;NORDESTE;PARAÍBA;-06,7698148;-37,7961460;187,5316;179,5830;-7,95;-7,98;0,03;;;
1883L;96510;NORDESTE;PARAÍBA;-07,3538393;-38,1497288;321,5451;313,0730;-8,47;-8,50;0,03;;;
2452U;96508;NORDESTE;PARAÍBA;-07,1585891;-36,7965350;545,7851;540,9800;-4,81;-5,05;0,24;;;
435X;96506;NORDESTE;PARAÍBA;-06,7832581;-35,9753231;429,7434;425,9780;-3,77;-4,00;0,23;;;
1807P;96520;NORDESTE;PERNAMBUCO;-07,9918813;-38,2986920;429,8804;421,1950;-8,69;-8,75;0,06;;;
1811V;96518;NORDESTE;PERNAMBUCO;-08,3699960;-36,5944880;678,7345;673,0030;-5,73;-5,90;0,17;;;
2476U;96517;NORDESTE;PERNAMBUCO;-08,7680230;-36,2498650;679,3415;673,7640;-5,58;-5,81;0,23;;;
2718T;93088;NORDESTE;PERNAMBUCO;-09,3650328;-40,5651529;383,6528;370,5050;-13,15;-13,09;-0,06;;;
348T;96519;NORDESTE;PERNAMBUCO;-08,6888124;-37,8651796;602,5790;593,5680;-9,01;-8,91;-0,10;;;
3640F;99572;NORDESTE;PERNAMBUCO;-08,0631629;-34,8711388;03,2453;-02,2690;-5,51;-5,75;0,24;;;
3640Z;93110;NORDESTE;PERNAMBUCO;-08,0509638;-34,9515164;25,6096;20,1790;-5,43;-5,53;0,10;;;
3672A;93315;NORDESTE;PERNAMBUCO;-08,3071419;-35,0722694;51,1579;45,6210;-5,54;-5,68;0,14;;;
3672U;93317;NORDESTE;PERNAMBUCO;-08,3067793;-35,2555933;95,7293;90,1920;-5,54;-5,59;0,05;;;
3673L;93319;NORDESTE;PERNAMBUCO;-08,1543402;-35,2639372;327,1681;321,7720;-5,40;-5,48;0,08;;;
3675C;93321;NORDESTE;PERNAMBUCO;-08,0584701;-34,9522852;09,3843;03,9380;-5,45;-5,55;0,10;;;
3675H;93316;NORDESTE;PERNAMBUCO;-08,3641074;-35,2151264;95,7579;90,2490;-5,51;-5,64;0,13;;;
2608J;96539;NORDESTE;PIAUÍ;-03,8394440;-42,4178130;72,8463;52,0450;-20,80;-20,65;-0,15;;;
2609F;96535;NORDESTE;PIAUÍ;-06,4777445;-42,3397744;422,0681;403,0090;-19,06;-18,93;-0,13;;;
2623L;96522;NORDESTE;PIAUÍ;-06,9943136;-41,3663118;220,8999;206,0310;-14,87;-14,74;-0,13;;;
2642R;96532;NORDESTE;PIAUÍ;-07,3537629;-40,7632923;482,1763;470,3680;-11,81;-11,73;-0,08;;;
2669A;96526;NORDESTE;PIAUÍ;-09,0588068;-44,3151604;258,9824;240,9260;-18,06;-17,94;-0,12;;;
2670H;96529;NORDESTE;PIAUÍ;-09,8253780;-45,3347220;496,2645;479,1670;-17,10;-16,97;-0,13;;;
2672D;96528;NORDESTE;PIAUÍ;-10,5195259;-45,1884866;519,8673;504,5380;-15,33;-15,36;0,03;;;
2758B;96530;NORDESTE;PIAUÍ;-06,7684298;-43,0193867;113,5560;92,7250;-20,83;-20,61;-0,22;;;
2761E;96525;NORDESTE;PIAUÍ;-08,0870746;-42,9512880;267,4645;249,7040;-17,76;-17,48;-0,28;;;
529U;96541;NORDESTE;PIAUÍ;-03,8999000;-41,7109599;92,1016;73,8220;-18,28;-18,06;-0,22;;;
533D;92192;NORDESTE;PIAUÍ;-03,0737419;-41,2632702;16,7283;-00,3900;-17,12;-17,04;-0,08;;;
545H;96538;NORDESTE;PIAUÍ;-05,4667251;-41,3429863;269,8898;254,2450;-15,64;-15,83;0,19;;;
561H;96537;NORDESTE;PIAUÍ;-04,9703160;-42,3741930;154,4151;133,7820;-20,63;-20,39;-0,24;;;
567V;96534;NORDESTE;PIAUÍ;-06,2638036;-41,4040543;286,9211;271,1740;-15,75;-15,60;-0,15;;;
574E;96536;NORDESTE;PIAUÍ;-05,5880675;-42,6141566;137,6626;116,8730;-20,79;-20,65;-0,14;;;
591A;96523;NORDESTE;PIAUÍ;-07,8858017;-41,8908994;305,9828;290,6550;-15,33;-15,37;0,04;;;
593B;96533;NORDESTE;PIAUÍ;-08,1036939;-41,0739238;370,0663;357,8240;-12,24;-12,23;-0,01;;;
874J;96527;NORDESTE;PIAUÍ;-10,1123917;-44,2175616;354,0216;339,2910;-14,73;-14,91;0,18;;;
2418V;96505;NORDESTE;RIO GRANDE DO NORTE;-06,1161933;-35,6799947;145,2210;140,8490;-4,37;-4,56;0,19;;;
2648J;96504;NORDESTE;RIO GRANDE DO NORTE;-05,5610114;-35,7411058;110,2491;105,4280;-4,82;-5,10;0,28;;;
440G;96502;NORDESTE;RIO GRANDE DO NORTE;-05,7889389;-37,5595585;157,8478;150,9340;-6,91;-7,00;0,09;;;
2525X;96512;NORDESTE;SERGIPE;-09,9861000;-37,0951390;46,3154;37,0450;-9,27;-9,26;-0,01;;;
2550R;96511;NORDESTE;SERGIPE;-10,9434083;-37,1996160;57,5366;47,2960;-10,24;-10,35;0,11;;;
324E;93137;NORDESTE;SERGIPE;-11,1109666;-37,8483687;225,2355;215,3780;-9,86;-9,90;0,04;;;
778J;91285;NORTE;AMAZONAS;-08,2512707;-63,9312163;80,2756;91,0950;10,82;11,13;-0,31;;;
780L;92831;NORTE;AMAZONAS;-07,5503050;-63,0775950;59,4320;66,3530;6,92;7,29;-0,37;;;
1608J;93997;NORTE;PARÁ;-01,5825500;-48,0163630;28,6338;03,0420;-25,59;-25,11;-0,48;;;
840U;90609;NORTE;PARÁ;-01,2975180;-47,9498160;45,5228;19,9410;-25,58;-25,16;-0,42;;;
984C;90448;NORTE;PARÁ;-06,8353307;-49,5828738;221,8345;200,2590;-21,58;-21,97;0,39;;;
993D;90411;NORTE;PARÁ;-07,1424020;-55,3822310;224,3235;208,5740;-15,75;-15,37;-0,38;;;
760N;91287;NORTE;RONDÔNIA;-10,5925629;-62,3527983;245,3090;259,6640;14,36;14,27;0,08;;;
762M;91242;NORTE;RONDÔNIA;-09,9286931;-63,0588031;117,1506;131,3240;14,17;14,23;-0,06;;;
763R;91286;NORTE;RONDÔNIA;-09,3681220;-63,1341946;120,6935;132,8670;12,17;12,27;-0,10;;;
9517C;90012;NORTE;RONDÔNIA;-08,7405439;-63,9032861;85,2713;97,2200;11,95;12,05;-0,10;;;
1377E;92821;NORTE;TOCANTINS;-12,9143030;-46,9537749;748,7745;731,3010;-17,47;-17,46;-0,01;;;
1379P;92616;NORTE;TOCANTINS;-12,6213725;-47,8861538;270,1947;253,6160;-16,58;-16,40;-0,18;;;
1384R;92829;NORTE;TOCANTINS;-11,6001820;-50,5704364;190,0378;172,6150;-17,42;-17,22;-0,20;;;
2208H;92823;NORTE;TOCANTINS;-10,9311899;-48,5230495;252,8454;236,4850;-16,36;-16,17;-0,19;;;
2305V;92822;NORTE;TOCANTINS;-11,7925663;-46,9062941;421,8932;404,5080;-17,39;-17,25;-0,14;;;
2312G;92820;NORTE;TOCANTINS;-12,4210016;-48,6240231;298,3859;284,3200;-14,07;-14,03;-0,04;;;
3251U;92617;NORTE;TOCANTINS;-12,7437272;-48,2374296;268,6431;253,6850;-14,96;-14,78;-0,18;;;
3254A;92615;NORTE;TOCANTINS;-12,2898137;-48,2392581;290,1915;275,0350;-15,16;-15,11;-0,05;;;
682P;92825;NORTE;TOCANTINS;-09,7648506;-48,7034962;338,5989;319,8700;-18,73;-18,57;-0,16;;;
687B;92828;NORTE;TOCANTINS;-07,5502670;-48,4164370;268,1823;245,4220;-22,76;-22,42;-0,34;;;
946V;92824;NORTE;TOCANTINS;-09,5654998;-46,6165731;453,8431;433,7470;-20,10;-20,36;0,26;;;
1087A;91596;SUDESTE;ESPÍRITO SANTO;-20,2331380;-40,2753730;33,5281;25,8890;-7,64;-7,36;-0,28;;;
173D;96067;SUDESTE;ESPÍRITO SANTO;-19,9341059;-40,6008784;651,0328;644,5280;-6,50;-6,85;0,35;;;
3281R;96066;SUDESTE;ESPÍRITO SANTO;-19,0514920;-40,0292262;47,9021;40,2240;-7,68;-7,88;0,20;;;
3286J;91849;SUDESTE;ESPÍRITO SANTO;-18,7117171;-39,8761929;43,8680;36,2220;-7,65;-7,85;0,20;;;
4005A;96068;SUDESTE;ESPÍRITO SANTO;-21,1152472;-41,0255310;26,4805;19,5990;-6,88;-7,02;0,14;;;
4006L;96065;SUDESTE;ESPÍRITO SANTO;-20,7697658;-41,1627492;71,4975;64,7670;-6,73;-6,92;0,19;;;
4007M;96064;SUDESTE;ESPÍRITO SANTO;-20,7495066;-41,4731220;114,5818;108,1450;-6,44;-6,53;0,09;;;
4018Z;91847;SUDESTE;ESPÍRITO SANTO;-20,2124997;-40,2680291;37,2254;30,0860;-7,14;-7,37;0,23;;;
4025P;91871;SUDESTE;ESPÍRITO SANTO;-18,1331624;-40,3636408;188,5380;179,8160;-8,72;-8,86;0,14;;;
4028M;93699;SUDESTE;ESPÍRITO SANTO;-18,3806063;-40,8195724;234,2863;225,1860;-9,10;-9,27;0,17;;;
4030J;91872;SUDESTE;ESPÍRITO SANTO;-18,7505876;-40,8897362;211,7365;202,7120;-9,02;-9,21;0,19;;;
4035N;91873;SUDESTE;ESPÍRITO SANTO;-19,8874530;-40,8675409;185,0990;177,9450;-7,15;-7,26;0,11;;;
108L;91630;SUDESTE;MINAS GERAIS;-20,6601721;-43,7859457;995,0392;990,9660;-4,07;-4,30;0,23;;;
1138C;91740;SUDESTE;MINAS GERAIS;-19,6444121;-42,8188547;341,2792;330,8210;-10,46;-10,24;-0,22;;;
1169D;91771;SUDESTE;MINAS GERAIS;-18,4803693;-43,0386095;702,1681;692,1610;-10,01;-10,07;0,06;;;
1172T;96059;SUDESTE;MINAS GERAIS;-18,3665645;-44,4404761;638,4285;628,0950;-10,33;-10,32;-0,01;;;
1293J;93923;SUDESTE;MINAS GERAIS;-16,1146103;-45,6238287;592,7460;579,3510;-13,40;-13,39;0,00;;;
135I;96063;SUDESTE;MINAS GERAIS;-20,3300221;-42,3647084;675,1005;668,8780;-6,22;-6,50;0,28;;;
146Q;96056;SUDESTE;MINAS GERAIS;-18,5894766;-46,5169278;834,0203;824,3460;-9,67;-9,56;-0,11;;;
215S;96055;SUDESTE;MINAS GERAIS;-17,2240651;-46,8743006;683,0857;670,4800;-12,61;-12,55;-0,06;;;
2163L;96057;SUDESTE;MINAS GERAIS;-19,4001171;-47,3213885;1096,2499;1087,9170;-8,33;-8,52;0,19;;;
2286G;91243;SUDESTE;MINAS GERAIS;-15,6242188;-46,4223333;551,7776;538,0600;-13,72;-13,53;-0,19;;;
2319S;93906;SUDESTE;MINAS GERAIS;-17,3479490;-44,9068594;510,6511;498,3350;-12,32;-12,27;-0,05;;;
2332A;96061;SUDESTE;MINAS GERAIS;-17,2132359;-44,4454414;559,0887;546,9120;-12,18;-12,13;-0,05;;;
2981F;91791;SUDESTE;MINAS GERAIS;-20,3015000;-49,1972345;450,8395;443,3400;-7,50;-7,33;-0,17;;;
2990V;91691;SUDESTE;MINAS GERAIS;-20,3572240;-47,0360243;722,7109;715,5740;-7,14;-6,95;-0,19;;;
2992M;91677;SUDESTE;MINAS GERAIS;-20,2835598;-47,0643936;669,2814;662,1750;-7,11;-7,16;0,05;;;
2992S;91674;SUDESTE;MINAS GERAIS;-20,2862672;-47,0642366;669,3160;662,0370;-7,28;-7,16;-0,12;;;
2992T;91673;SUDESTE;MINAS GERAIS;-20,2863026;-47,0668528;631,6414;624,5140;-7,13;-7,15;0,02;;;
2992Z;91675;SUDESTE;MINAS GERAIS;-20,2856163;-47,0672158;632,3074;625,2110;-7,10;-7,16;0,06;;;
2993L;91676;SUDESTE;MINAS GERAIS;-20,2756627;-47,0789592;629,3778;622,2700;-7,11;-7,16;0,05;;;
2993U;91670;SUDESTE;MINAS GERAIS;-20,2882108;-47,0665739;686,2989;679,2680;-7,03;-7,15;0,12;;;
2993X;91665;SUDESTE;MINAS GERAIS;-20,1510138;-47,2800190;631,2579;623,6310;-7,63;-7,60;-0,03;;;
2996A;91694;SUDESTE;MINAS GERAIS;-20,6039382;-46,9106961;696,3033;689,6670;-6,64;-6,64;0,00;;;
3003G;91678;SUDESTE;MINAS GERAIS;-20,6637603;-46,3166536;774,3025;767,8090;-6,49;-6,53;0,04;;;
3003J;91679;SUDESTE;MINAS GERAIS;-20,6652893;-46,3207131;682,5436;676,0620;-6,48;-6,53;0,05;;;
3034J;91784;SUDESTE;MINAS GERAIS;-20,0319841;-47,4342421;573,5673;565,3660;-8,20;-8,07;-0,13;;;
3034P;91846;SUDESTE;MINAS GERAIS;-20,0510312;-47,4061054;572,7692;564,5780;-8,19;-7,99;-0,20;;;
3036F;91788;SUDESTE;MINAS GERAIS;-20,1193948;-48,5733326;473,5930;465,6570;-7,94;-8,07;0,13;;;
3036G;91789;SUDESTE;MINAS GERAIS;-20,1247573;-48,5723361;469,9536;461,9270;-8,03;-8,07;0,04;;;
3036X;91790;SUDESTE;MINAS GERAIS;-20,2940128;-49,1944528;457,1737;449,7520;-7,42;-7,33;-0,09;;;
3038R;91786;SUDESTE;MINAS GERAIS;-20,0247606;-48,2150747;499,7342;490,9060;-8,83;-8,75;-0,08;;;
3042S;91817;SUDESTE;MINAS GERAIS;-21,1901624;-45,0569930;773,1171;769,1250;-3,99;-4,10;0,11;;;
3043L;91811;SUDESTE;MINAS GERAIS;-21,0878110;-45,1780533;783,0893;778,8380;-4,25;-4,43;0,18;;;
3043T;91810;SUDESTE;MINAS GERAIS;-21,0711498;-45,2301308;773,8651;769,4320;-4,43;-4,53;0,10;;;
3043Z;91804;SUDESTE;MINAS GERAIS;-21,0498902;-45,2786115;770,1459;765,6000;-4,55;-4,68;0,13;;;
3044A;91802;SUDESTE;MINAS GERAIS;-21,0505260;-45,2858589;772,6510;768,1230;-4,53;-4,69;0,16;;;
3044E;91803;SUDESTE;MINAS GERAIS;-21,0593648;-45,3158092;769,7317;765,1470;-4,58;-4,73;0,15;;;
3044G;91799;SUDESTE;MINAS GERAIS;-21,2274852;-44,9786388;919,4306;915,6730;-3,76;-3,97;0,21;;;
3044V;91815;SUDESTE;MINAS GERAIS;-21,1672804;-45,1166869;808,5744;804,4460;-4,13;-4,22;0,09;;;
3044X;91732;SUDESTE;MINAS GERAIS;-21,3330862;-44,9745698;1044,7168;1041,0980;-3,62;-3,82;0,20;;;
3044Z;91733;SUDESTE;MINAS GERAIS;-21,3327146;-44,9728411;1041,7607;1038,1730;-3,59;-3,82;0,23;;;
3045R;91797;SUDESTE;MINAS GERAIS;-21,1326782;-45,0228794;789,4186;785,4630;-3,96;-4,08;0,12;;;
3045T;91798;SUDESTE;MINAS GERAIS;-21,2276372;-44,9759475;921,9325;918,1470;-3,79;-3,97;0,18;;;
3045U;91800;SUDESTE;MINAS GERAIS;-21,2291141;-44,9746058;921,9516;918,1550;-3,80;-3,97;0,17;;;
3045X;91801;SUDESTE;MINAS GERAIS;-21,2278998;-44,9735593;931,5155;927,5210;-3,99;-3,97;-0,02;;;
3050D;91734;SUDESTE;MINAS GERAIS;-21,3304583;-44,9681942;1018,8444;1015,0730;-3,77;-3,82;0,05;;;
3050E;91735;SUDESTE;MINAS GERAIS;-21,3295158;-44,9688072;1008,2568;1004,6360;-3,62;-3,82;0,20;;;
3050F;91731;SUDESTE;MINAS GERAIS;-21,3302860;-44,9819160;1182,3859;1179,0170;-3,37;-3,83;0,46;;;
3050G;91729;SUDESTE;MINAS GERAIS;-21,3306134;-44,9838917;1217,1873;1213,6290;-3,56;-3,83;0,27;;;
3053E;91809;SUDESTE;MINAS GERAIS;-21,1158011;-45,2123177;799,1192;794,7800;-4,34;-4,44;0,10;;;
3053G;91807;SUDESTE;MINAS GERAIS;-21,1396268;-45,2223609;790,8774;786,3510;-4,53;-4,41;-0,12;;;
3053M;91806;SUDESTE;MINAS GERAIS;-21,1316898;-45,2517131;768,6905;764,3420;-4,35;-4,46;0,11;;;
3053U;91805;SUDESTE;MINAS GERAIS;-21,0803720;-45,2571318;773,3308;768,8560;-4,47;-4,57;0,10;;;
3261F;92711;SUDESTE;MINAS GERAIS;-18,4242683;-49,1189247;523,2110;511,9500;-11,26;-11,10;-0,16;;;
3261H;92712;SUDESTE;MINAS GERAIS;-18,4069112;-49,0972581;523,4241;512,1000;-11,32;-11,16;-0,16;;;
3320L;92851;SUDESTE;MINAS GERAIS;-20,8620348;-46,8984670;956,0945;950,5310;-5,56;-5,65;0,09;;;
3320U;92852;SUDESTE;MINAS GERAIS;-20,8948856;-47,0021116;933,3689;928,0420;-5,33;-5,51;0,18;;;
3321L;92853;SUDESTE;MINAS GERAIS;-21,0712379;-46,9795535;1158,0089;1153,0430;-4,97;-5,18;0,21;;;
3321Z;92854;SUDESTE;MINAS GERAIS;-21,1929657;-46,9729304;889,2239;884,3460;-4,88;-4,99;0,11;;;
3322L;92855;SUDESTE;MINAS GERAIS;-21,3499526;-46,9407411;763,8446;759,0310;-4,81;-4,87;0,06;;;
4022S;91703;SUDESTE;MINAS GERAIS;-20,7474109;-42,8390417;655,7051;649,2560;-6,45;-6,59;0,14;;;
4022T;91702;SUDESTE;MINAS GERAIS;-20,7403881;-42,8437789;653,6108;647,1250;-6,49;-6,62;0,13;;;
4022U;91700;SUDESTE;MINAS GERAIS;-20,7625950;-42,8641293;702,2267;695,7690;-6,46;-6,59;0,13;;;
4022X;91701;SUDESTE;MINAS GERAIS;-20,7653937;-42,8670268;698,4360;691,9810;-6,46;-6,58;0,12;;;
4022Z;91699;SUDESTE;MINAS GERAIS;-20,7564050;-42,8711022;712,5017;706,0330;-6,47;-6,61;0,14;;;
618M;96058;SUDESTE;MINAS GERAIS;-18,1044781;-45,4681658;603,6902;593,0270;-10,66;-10,75;0,09;;;
658A;91834;SUDESTE;MINAS GERAIS;-20,0492576;-47,4056955;580,8847;572,7800;-8,10;-8,00;-0,10;;;
